measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,England,Male,5-9 years,All causes,Number,2019,137.227435758139,141.46937908636,133.415549176622
Deaths,England,Male,5-9 years,All causes,Rate,2019,7.91267908135728,8.15727402005943,7.69288166951
Deaths,England,Male,5-9 years,Prostate cancer,Number,2019,0,0,0
Deaths,England,Male,5-9 years,Prostate cancer,Rate,2019,0,0,0
Deaths,England,Both,50-54 years,All causes,Number,2019,11710.9730492561,11870.8935554345,11556.1287475282
Deaths,England,Both,50-54 years,All causes,Rate,2019,298.646739646051,302.724943700646,294.697986142027
Deaths,England,Female,50-54 years,All causes,Number,2019,4832.24329483838,4920.45010267917,4745.96745005206
Deaths,England,Female,50-54 years,All causes,Rate,2019,243.906731300363,248.358956253909,239.551971407688
Deaths,England,Female,50-54 years,Breast cancer,Number,2019,711.559722080932,742.454904972647,680.538095614547
Deaths,England,Female,50-54 years,Breast cancer,Rate,2019,35.9158666789686,37.4752962466176,34.3500548914869
Deaths,England,Male,50-54 years,All causes,Number,2019,6878.72975441768,7019.42331229174,6747.15053067515
Deaths,England,Male,50-54 years,All causes,Rate,2019,354.544188734435,361.795830406299,347.762318999527
Deaths,England,Male,50-54 years,Prostate cancer,Number,2019,67.6268727581572,80.8932220255691,49.3032147523513
Deaths,England,Male,50-54 years,Prostate cancer,Rate,2019,3.48563115498023,4.16940667842793,2.5411913100883
Deaths,England,Both,55-59 years,All causes,Number,2019,17176.9261151304,17415.9961643807,16950.4791148782
Deaths,England,Both,55-59 years,All causes,Rate,2019,472.499516620561,479.075808673753,466.270456924884
Deaths,England,Female,55-59 years,All causes,Number,2019,7029.80147617716,7155.52154544562,6907.90180606246
Deaths,England,Female,55-59 years,All causes,Rate,2019,383.049553661064,389.899962820231,376.407315699281
Deaths,England,Female,55-59 years,Breast cancer,Number,2019,944.095837258485,983.553506116796,906.413009972222
Deaths,England,Female,55-59 years,Breast cancer,Rate,2019,51.4432008216242,53.5932249006686,49.3898867669379
Deaths,England,Male,55-59 years,All causes,Number,2019,10147.1246389533,10357.7765174066,9951.42233741671
Deaths,England,Male,55-59 years,All causes,Rate,2019,563.694028782697,575.396181881337,552.822355996526
Deaths,England,Male,55-59 years,Prostate cancer,Number,2019,168.66815339354,225.705806429611,133.945311239667
Deaths,England,Male,55-59 years,Prostate cancer,Rate,2019,9.36986922864387,12.5384303310459,7.44094261337747
Deaths,England,Both,60-64 years,All causes,Number,2019,23384.8406648569,23688.7820716538,23100.0171709069
Deaths,England,Both,60-64 years,All causes,Rate,2019,763.281184223541,773.201831545425,753.984545564651
Deaths,England,Female,60-64 years,All causes,Number,2019,9443.79651523424,9598.69000947144,9293.13873879032
Deaths,England,Female,60-64 years,All causes,Rate,2019,607.921015032943,617.891900162327,598.22279374761
Deaths,England,Female,60-64 years,Breast cancer,Number,2019,935.840348659031,980.974444371783,893.119374108767
Deaths,England,Female,60-64 years,Breast cancer,Rate,2019,60.2424050272402,63.1478006733693,57.4923480803441
Deaths,England,Male,60-64 years,All causes,Number,2019,13941.0441496227,14211.2152834137,13689.9398645065
Deaths,England,Male,60-64 years,All causes,Rate,2019,923.084286128592,940.9732423281,906.457811290505
Deaths,England,Male,60-64 years,Prostate cancer,Number,2019,427.807215148821,559.642848469515,337.566371061326
Deaths,England,Male,60-64 years,Prostate cancer,Rate,2019,28.3265811052609,37.0558699708612,22.351425711581
Deaths,England,Both,65-69 years,All causes,Number,2019,32956.5911870768,33357.4855073076,32581.5354756255
Deaths,England,Both,65-69 years,All causes,Rate,2019,1192.09580397071,1206.59683152753,1178.5294027207
Deaths,England,Female,65-69 years,All causes,Number,2019,13531.1338214512,13730.7176253482,13336.5205852863
Deaths,England,Female,65-69 years,All causes,Rate,2019,953.200272559488,967.259946995008,939.490749602739
Deaths,England,Female,65-69 years,Breast cancer,Number,2019,1073.41555314237,1123.81797435838,1018.78833697892
Deaths,England,Female,65-69 years,Breast cancer,Rate,2019,75.6167229831718,79.1673198714084,71.7685105552069
Deaths,England,Male,65-69 years,All causes,Number,2019,19425.4573656257,19785.4468616484,19092.0946677675
Deaths,England,Male,65-69 years,All causes,Rate,2019,1444.22396203031,1470.98809151512,1419.43945440035
Deaths,England,Male,65-69 years,Prostate cancer,Number,2019,834.941856777493,1123.18751717896,669.217293435397
Deaths,England,Male,65-69 years,Prostate cancer,Rate,2019,62.0754000157513,83.5055924620663,49.7542803133552
Deaths,England,Both,70-74 years,All causes,Number,2019,53991.376341809,54595.2713623891,53405.652951434
Deaths,England,Both,70-74 years,All causes,Rate,2019,1981.69795267079,2003.86329845371,1960.19957788981
Deaths,England,Female,70-74 years,All causes,Number,2019,22806.3763321251,23129.569302105,22489.4635819464
Deaths,England,Female,70-74 years,All causes,Rate,2019,1607.18308534756,1629.95874541256,1584.84999725848
Deaths,England,Female,70-74 years,Breast cancer,Number,2019,1442.71528204869,1524.73863290121,1355.01514272114
Deaths,England,Female,70-74 years,Breast cancer,Rate,2019,101.669268476245,107.449517831685,95.4889714199641
Deaths,England,Male,70-74 years,All causes,Number,2019,31185.0000096839,31727.6542298462,30681.048221346
