measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Finland,Male,10 to 14,All causes,Rate,2019,9.652681181,10.3114462,9.049986978
Deaths,Finland,Female,10 to 14,All causes,Rate,2019,8.791951677,9.191853551,8.422529438
Deaths,Finland,Male,15 to 19,All causes,Number,2019,55.99473534,59.10958633,53.13285957
Deaths,Finland,Female,15 to 19,All causes,Number,2019,27.25757243,28.41179213,26.1944173
Deaths,Finland,Male,15 to 19,All causes,Rate,2019,36.78734929,38.83374009,34.90715782
Deaths,Finland,Female,15 to 19,All causes,Rate,2019,18.89105463,19.69099481,18.1542274
Deaths,Finland,Male,20 to 24,All causes,Number,2019,118.2941844,122.1554071,114.6956561
Deaths,Finland,Female,20 to 24,All causes,Number,2019,40.3184916,42.00076412,38.75571886
Deaths,Finland,Male,20 to 24,All causes,Rate,2019,73.63862372,76.04225098,71.39852482
Deaths,Finland,Female,20 to 24,All causes,Rate,2019,26.48369531,27.58871664,25.45716889
Deaths,Finland,Male,25 to 29,All causes,Number,2019,154.8764515,158.9603437,151.061082
Deaths,Finland,Female,25 to 29,All causes,Number,2019,48.37426591,50.64406289,46.27628767
Deaths,Finland,Male,25 to 29,All causes,Rate,2019,85.05885819,87.30175055,82.96343979
Deaths,Finland,Female,25 to 29,All causes,Rate,2019,28.02740604,29.34249621,26.81186537
Deaths,Finland,Male,30 to 34,All causes,Number,2019,173.9411703,178.7249923,169.4922705
Deaths,Finland,Female,30 to 34,All causes,Number,2019,63.04572772,65.91332929,60.41757763
Deaths,Finland,Male,30 to 34,All causes,Rate,2019,96.84603011,99.50954081,94.36899558
Deaths,Finland,Female,30 to 34,All causes,Rate,2019,37.29835321,38.99484907,35.74351874
Deaths,Finland,Male,35 to 39,All causes,Number,2019,235.6707683,243.4292349,228.5087614
Deaths,Finland,Female,35 to 39,All causes,Number,2019,84.63256218,88.44217364,81.13245675
Deaths,Finland,Male,35 to 39,All causes,Rate,2019,126.7236641,130.8955065,122.8725469
Deaths,Finland,Female,35 to 39,All causes,Rate,2019,48.54952693,50.73491313,46.54168906
Deaths,Finland,Male,40 to 44,All causes,Number,2019,313.2730003,325.3383941,302.1979409
Deaths,Finland,Female,40 to 44,All causes,Number,2019,124.9723551,130.4907854,119.9384295
Deaths,Finland,Male,40 to 44,All causes,Rate,2019,175.7445273,182.5131506,169.5314764
Deaths,Finland,Female,40 to 44,All causes,Rate,2019,74.05265219,77.32261058,71.06978819
Deaths,Finland,Male,45 to 49,All causes,Number,2019,451.5105116,471.0612829,433.4708346
Deaths,Finland,Female,45 to 49,All causes,Number,2019,202.7550798,211.6386093,194.5749967
Deaths,Finland,Male,45 to 49,All causes,Rate,2019,282.0774537,294.2916362,270.8073149
Deaths,Finland,Female,45 to 49,All causes,Rate,2019,131.2716927,137.0232425,125.9755819
Deaths,Finland,Male,50 to 54,All causes,Number,2019,778.4604904,812.9772095,746.5520667
Deaths,Finland,Female,50 to 54,All causes,Number,2019,370.4280493,386.5988238,355.5036262
Deaths,Finland,Male,50 to 54,All causes,Rate,2019,434.5966974,453.8665927,416.7829538
Deaths,Finland,Female,50 to 54,All causes,Rate,2019,209.3938206,218.5347597,200.9574131
Deaths,Finland,Male,55 to 59,All causes,Number,2019,1255.145267,1311.145835,1203.533571
Deaths,Finland,Female,55 to 59,All causes,Number,2019,586.7231765,611.8462431,563.6216809
Deaths,Finland,Male,55 to 59,All causes,Rate,2019,682.8437145,713.3100171,654.765114
Deaths,Finland,Female,55 to 59,All causes,Rate,2019,316.5058977,330.0584537,304.0438714
Deaths,Finland,Male,60 to 64,All causes,Number,2019,1897.172223,1976.205209,1824.421318
Deaths,Finland,Female,60 to 64,All causes,Number,2019,920.9034236,957.2615642,887.5633477
Deaths,Finland,Male,60 to 64,All causes,Rate,2019,1076.941897,1121.805475,1035.644383
Deaths,Finland,Female,60 to 64,All causes,Rate,2019,501.6669655,521.4732531,483.5047845
Deaths,Finland,Male,65 to 69,All causes,Number,2019,2758.72434,2868.006325,2658.032561
Deaths,Finland,Female,65 to 69,All causes,Number,2019,1460.524262,1512.741934,1412.562933
Deaths,Finland,Male,65 to 69,All causes,Rate,2019,1614.322868,1678.271413,1555.401055
Deaths,Finland,Female,65 to 69,All causes,Rate,2019,786.2076601,814.3166997,760.3898323
Deaths,Finland,Male,70 to 74,All causes,Number,2019,3937.086473,4086.594199,3799.150995
Deaths,Finland,Female,70 to 74,All causes,Number,2019,2336.782779,2417.5027,2262.633523
Deaths,Finland,Male,70 to 74,All causes,Rate,2019,2406.160658,2497.532694,2321.861031
Deaths,Finland,Female,70 to 74,All causes,Rate,2019,1257.34809,1300.780898,1217.450746
Deaths,Finland,Male,75 to 79,All causes,Number,2019,3808.496885,3941.33181,3685.341285
Deaths,Finland,Female,75 to 79,All causes,Number,2019,2765.803041,2857.52515,2681.411774
Deaths,Finland,Male,75 to 79,All causes,Rate,2019,4053.825946,4195.217598,3922.737124
Deaths,Finland,Female,75 to 79,All causes,Rate,2019,2338.905683,2416.470629,2267.540076
Deaths,Finland,Male,All Ages,All causes,Number,2019,28219.25364,29151.71542,27356.43321
Deaths,Finland,Female,All Ages,All causes,Number,2019,27894.06699,28708.33317,27142.17314
Deaths,Finland,Male,All Ages,All causes,Rate,2019,1033.630644,1067.785377,1002.026773
Deaths,Finland,Female,All Ages,All causes,Rate,2019,994.8009958,1023.840605,967.9858042
Deaths,Finland,Male,80 to 84,All causes,Number,2019,4548.536104,4688.100144,4418.769271
Deaths,Finland,Female,80 to 84,All causes,Number,2019,4465.794099,4597.861239,4343.870335
Deaths,Finland,Male,80 to 84,All causes,Rate,2019,6999.230866,7213.990277,6799.547274
Deaths,Finland,Female,80 to 84,All causes,Rate,2019,4655.077548,4792.742378,4527.986025
Deaths,Finland,Male,85 to 89,All causes,Number,2019,4073.660887,4169.941229,3983.39385
Deaths,Finland,Female,85 to 89,All causes,Number,2019,5650.861984,5816.754897,5497.240084
Deaths,Finland,Male,85 to 89,All causes,Rate,2019,11936.3404,12218.45395,11671.84659
Deaths,Finland,Female,85 to 89,All causes,Rate,2019,8952.668162,9215.492524,8709.284781
Deaths,Finland,Male,90 to 94,All causes,Number,2019,2513.61485,2564.135361,2466.559601
Deaths,Finland,Female,90 to 94,All causes,Number,2019,5334.978896,5461.932585,5216.988157
Deaths,Finland,Male,90 to 94,All causes,Rate,2019,18103.45567,18467.31246,17764.55625
Deaths,Finland,Female,90 to 94,All causes,Rate,2019,15673.82615,16046.80796,15327.17692
Deaths,Finland,Male,95 plus,All causes,Number,2019,1057.023256,1072.712929,1042.206999
Deaths,Finland,Female,95 plus,All causes,Number,2019,3336.013504,3388.0297,3287.161973
Deaths,Finland,Male,95 plus,All causes,Rate,2019,28366.59589,28787.6487,27968.98232
Deaths,Finland,Female,95 plus,All causes,Rate,2019,27828.67288,28262.5865,27421.15855
Deaths,United Kingdom,Male,45 to 49,All causes,Rate,2019,245.2591526,249.4979683,241.2607925
Deaths,United Kingdom,Female,45 to 49,All causes,Rate,2019,161.014315,163.7764095,158.4286947
